term_type	term_id	term_source	term_name	term_description
C21	D000077595	internal	FCV	Famciclovir, marketed as Famvir by Novartis, is a guanine analogue used to treat herpes virus infections. It is most commonly used to treat herpes zoster (shingles). Famciclovir is a prodrug of penciclovir with higher oral bioavailability.	
C21	D014271	internal	Trifluridinum	Trifluridine is a fluorinated pyrimidine nucleoside that is structurally related to [idoxuridine] [A35271]. It is an active antiviral agent in ophthalmic solutions used mainly in the treatment of primary keratoconjunctivitis and recurrent epithelial keratitis due to herpes simplex virus. It displays effective antiviral activity against Herpes simplex virus type 1 and 2 [A35271]. The combination product of trifluridine with tipiracil marketed as Lonsurf has been approved in Japan, the United States, and the European Union for the treatment of adult patients with metastatic colorectal cancer who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF biological therapy, and if RAS wild-type, an anti-EGFR therapy. In the anticancer therapy, trifluridine acts as a thymidine-based nucleoside metabolic inhibitor that gets incorporated into DNA of cancer cells following cell uptake to aberrate DNA function during cell replication [F649].	
C21	C413685	internal	Entecavirum	Entecavir is an oral antiviral drug used in the treatment of hepatitis B infection. It is marketed under the trade name Baraclude (BMS).Entecavir is a guanine analogue that inhibits all three steps in the viral replication process, and the manufacturer claims that it is more efficacious than previous agents used to treat hepatitis B (lamivudine and adefovir). It was approved by the U.S. Food and Drug Administration (FDA) in March 2005.	
C21	D012299	internal	Rimantadinum	An RNA synthesis inhibitor that is used as an antiviral agent in the prophylaxis and treatment of influenza.	
C21	D015215	internal	Zidovudinum	A dideoxynucleoside compound in which the 3&#39;-hydroxy group on the sugar moiety has been replaced by an azido group. This modification prevents the formation of phosphodiester linkages which are needed for the completion of nucleic acid chains. The compound is a potent inhibitor of HIV replication, acting as a chain-terminator of viral DNA during reverse transcription. It improves immunologic function, partially reverses the HIV-induced neurological dysfunction, and improves certain other clinical abnormalities associated with AIDS. Its principal toxic effect is dose-dependent suppression of bone marrow, resulting in anemia and leukopenia. [PubChem]	
C21	D019438	internal	Ritonavirum	Ritonavir is an HIV protease inhibitor that interferes with the reproductive cycle of HIV. Although it was initially developed as an independent antiviral agent, it has been shown to possess advantageous properties in combination regimens with low-dose ritonavir and other protease inhibitors. It is now more commonly used as a booster of other protease inhibitors and is available in both liquid formulation and as capsules. While ritonavir is not an active antiviral agent against hepatitis C virus (HCV) infection, it is added in combination therapies indicated for treatment of HCV infections as a booster. Ritonavir is a potent CYP3A inhibitor that increases peak and trough plasma drug concentrations of other protease inhibitors such as [DB09297] and overall drug exposure. American Association for the Study of Liver Diseases (AASLD) and the Infectious Diseases Society of America (IDSA) guidelines recommend ritonavir-boosted combination therapies as a first-line therapy for HCV Genotype 1a/b and 4 treatment-naïve patients with or without cirrhosis. Ritonavir is found in a fixed-dose combination product with [DB09296], [DB09183], and [DB09297] as the FDA-approved product Viekira Pak. First approved in December 2014, Viekira Pak is indicated for the treatment of HCV genotype 1b without cirrhosis or with compensated cirrhosis, and when combined with Ribavirin for the treatment of HCV genotype 1a without cirrhosis or with compensated cirrhosis.Ritonavir is also available as a fixed-dose combination product with [DB09296] and [DB09297] as the FDA- and Health Canada-approved product Technivie. First approved in July 2015, Technivie is indicated in combination with Ribavirin for the treatment of patients with genotype 4 chronic hepatitis C virus (HCV) infection without cirrhosis or with compensated cirrhosis.In Canada, ritonavir is also available as a fixed-dose combination product with [DB09296], [DB09183], and [DB09297] as the Health Canada-approved, commercially available product Holkira Pak. First approved in January 2015, Holkira Pak is indicated for the treatment of HCV genotype 1b with or without cirrhosis, and when combined with Ribavirin for the treatment of HCV genotype 1a with or without cirrhosis. Inclusion of ritonavir can can select for HIV-1 protease inhibitor resistance-associated substitutions. Any HCV/HIV-1 co-infected patients treated with ritonavir-containing combination therapies should also be on a suppressive antiretroviral drug regimen to reduce the risk of HIV-1 protease inhibitor drug resistance.	
C21	D053243	internal	Zanamivir	A guanido-neuraminic acid that is used to inhibit neuraminidase.	
C21	D000077483	internal	Valacyclovir	Valaciclovir (valacyclovir), also known as _Valtrex_, is an antiviral drug that has been used to manage and treat various herpes infections for more than 2 decades.  It was initially approved by the FDA in 1995 [FDA label] and marketed by GlaxoSmithKline [L5671]. Valacyclovir is the L-valine ester of aciclovir. It is a member of the purine (guanine) nucleoside analog drug class [F3949].  This class of drugs forms an important part of hepatitis, HIV, and cytomegalovirus drug regimens [A175900].One major use of valacyclovir is the treatment of genital herpes episodes or outbreaks. Genital herpes is a frequently diagnosed sexually transmitted disease which currently affects more than 400 million individuals worldwide. It is caused by infection with the herpes simplex virus (HSV). Infection with this virus is lifelong with periodic episodes of reactivation [A175903].	
C21	C098320	internal	Efavirenzum	Efavirenz (brand names Sustiva® and Stocrin®) is a non-nucleoside reverse transcriptase inhibitor (NNRTI) and is used as part of highly active antiretroviral therapy (HAART) for the treatment of a human immunodeficiency virus (HIV) type 1.For HIV infection that has not previously been treated, efavirenz and lamivudine in combination with zidovudine or tenofovir is the preferred NNRTI-based regimen.Efavirenz is also used in combination with other antiretroviral agents as part of an expanded postexposure prophylaxis regimen to prevent HIV transmission for those exposed to materials associated with a high risk for HIV transmission.	
C21	D018119	internal	STV	A dideoxynucleoside analog that inhibits reverse transcriptase and has in vitro activity against HIV.	
C21	C095108	internal	Amprenavirum	Amprenavir is a protease inhibitor used to treat HIV infection.	
C21	D020008	internal	N-{2-[4-(3-Isopropylamino-pyridin-2-yl)-piperazine-1-carbonyl]-1H-indol-5-yl}-methanesulfonamide	A potent, non-nucleoside reverse transcriptase inhibitor with activity specific for HIV-1.	
C21	D019259	internal	Lamivudinum	A reverse transcriptase inhibitor and zalcitabine analog in which a sulfur atom replaces the 3&#39; carbon of the pentose ring. It is used to treat Human Immunodeficiency Virus Type 1 (HIV-1) and hepatitis B (HBV).	
C21	C106812	internal	bis-POM PMEA	Adefovir dipivoxil, previously called bis-POM PMEA, with trade names Preveon and Hepsera, is an orally-administered acyclic nucleotide analog reverse transcriptase inhibitor (ntRTI) used for treatment of hepatitis B. It is ineffective against HIV-1. Adefovir dipivoxil is the diester prodrug of adefovir.	
C21	D000212	internal	Acyclovir	Aciclovir is a guanosine analog antiviral drug and an antimetabolite used in the treatment of herpes simplex virus infections, varicella zoster (chickenpox) and herpes zoster (shingles). Aciclovir has also been investigated for the treatment of herpes labialis applied using an iontophoretic device. Currently approved drugs for the treatment of herpes labialis (cold sores) exhibit low levels of efficacy due to the limited ability of the drugs to penetrate the skin to the site where the herpes virus is replicating. Iontophoresis uses electric current to enhance the delivery of drugs through the skin.	
C21	D012254	internal	Tribavirin	Producing a broad-spectrum activity against several RNA and DNA viruses, Ribavirin is a synthetic guanosine nucleoside and antiviral agent that interferes with the synthesis of viral mRNA. It is primarily indicated for use in treating hepatitis C and viral hemorrhagic fevers. HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. It is reported that ribavirin might be only effective in early stages of viral hemorrhagic fevers including Lasser fever, Crimean-Congo hemorrhagic fever, Venezuelan hemorrhagic fever, and Hantavirus infection. Ribavirin is a prodrug that is metabolized into nucleoside analogs that blocks viral RNA synthesis and viral mRNA capping. Before the development of newer drugs, ribavirin and [DB00008]/[DB00022] dual therapy was considered the first-generation and standard antiviral treatment [A19626]. The dual therapy was administered for 48 weeks in patients with genotype 1, 4, 5, and 6, and 24 weeks in patients with genotype 2 and 3 [A19626]. Newer drugs developed as Hepatitis C viral infection treatments can be used to reduce or eliminate the use of ribavirin, which are associated with serious adverse effects. They also improve therapeutic efficacy in patients with failed [DB00008]/[DB00022] and ribavirin-based therapy. The potential use of ribavirin as a treatment for acute myeloid leukemia is currently under investigation.According to 2017 American Association for the Study of Liver Diseases (AASLD) and 2015 consensus guidelines from the Canadian Association for the Study of the Liver (CASL), ribavirin is typically used as an adjunct therapy to various first-line and second-line combination therapies recommended for each genotypes. Ribavirin is added to decrease relapse rates by accelerating viral clearance early in the treatment course [A19645]. When used to treat Hepatitis C virus (HCV) infections, it is always used as a part of combination therapies as ribavirin monotherapy is not efficacious in the treatment of chronic hepatitis C infection [A19644]. Additionally, including ribavirin in the regimen can increase the risk of anemia. In HCV genotye 1/2/3/4/5/6 patients, ribavirin can be used in combination therapy involving [DB09102] and [DB08934], Eplusa ([DB08934], [DB11613]), Harvoni ([DB08934], [DB09027]), [DB06290] and [DB08934], Viekira Pak ([DB09296], [DB09297], [DB00503], [DB09183]), Technivie ([DB00503], [DB09296], [DB09297]) and Zepatier ([DB11574], [DB11575]). Addition of weight-based ribavirin to Technivie therapy increased sustained virologic response after 12 weeks of daily therapy (SVR12) from 90% to 97% in patients with HCV genotype 1a and 90.9% to 100% in HCV genotype 4 patients [L852]. Zepatier therapy along with ribavirin improved SVR in HCV genotype 5 patients. Combination therapy of ribavirin and [DB00008] results in the SVR of 44% in patients with genotype 1 infection and 70% in patients with genotype 2-6. The inclusion of ribavirin in the combination therapies depend on individual patient's profile, for example if HCV genotype 3 patient has a Y93H genetic variant and compensated cirrhosis.	
C21	D000068679	internal	Emtricitabinum	Emtricitabine is a nucleoside reverse transcriptase inhibitor (NRTI) for the treatment of HIV infection in adults. Emtricitabine is a cytidine analogue. The drug works by inhibiting HIV reverse transcriptase, preventing transcription of HIV RNA to DNA.	
C21	D016049	internal	Dideoxyinosine	A dideoxynucleoside compound in which the 3&#39;-hydroxy group on the sugar moiety has been replaced by a hydrogen. This modification prevents the formation of phosphodiester linkages which are needed for the completion of nucleic acid chains. Didanosine is a potent inhibitor of HIV replication, acting as a chain-terminator of viral DNA by binding to reverse transcriptase; ddI is then metabolized to dideoxyadenosine triphosphate, its putative active metabolite.	
C21	D000547	internal	Aminoadamantane	An antiviral that is used in the prophylactic or symptomatic treatment of influenza A. It is also used as an antiparkinsonian agent, to treat extrapyramidal reactions, and for postherpetic neuralgia. The mechanisms of its effects in movement disorders are not well understood but probably reflect an increase in synthesis and release of dopamine, with perhaps some inhibition of dopamine uptake.	
C21	C107201	internal	Tipranavir	Tipranavir is a sulfonamide-containing dyhydropyrone and a nonpeptidic protease inhibitor that targets the HIV protease. Tipranavir and ritonavir are coadministered to treat HIV.	
C21	D016047	internal	Zalcitabine	A dideoxynucleoside compound in which the 3'-hydroxyl group on the sugar moiety has been replaced by a hydrogen. This modification prevents the formation of 5' to 3' phosphodiester linkages, which are needed for the elongation of DNA chains, thus resulting in the termination of viral DNA growth. The compound is a potent inhibitor of HIV replication at low concentrations, acting as a chain-terminator of viral DNA by binding to reverse transcriptase. Its principal toxic side effect is axonal degeneration resulting in peripheral neuropathy.	
C21	D015774	internal	Gancyclovir	An acyclovir analog that is a potent inhibitor of the Herpesvirus family including cytomegalovirus. Ganciclovir is used to treat complications from AIDS-associated cytomegalovirus infections.	
C21	C106538	internal	ABC 	Abacavir (ABC) is a powerful nucleoside analog reverse transcriptase inhibitor (NRTI) used to treat HIV and AIDS. Chemically, it is a synthetic carbocyclic nucleoside and is the enantiomer with 1S, 4R absolute configuration on the cyclopentene ring. In vivo, abacavir sulfate dissociates to its free base, abacavir.	
C21	D019258	internal	Saquinavir	An HIV protease inhibitor which acts as an analog of an HIV protease cleavage site. It is a highly specific inhibitor of HIV-1 and HIV-2 proteases.	
C21	D000069454	internal	N-((1S,2R)-3-(((4-aminophenyl)sulfonyl)(2-methylpropyl)amino)-2-hydroxy-1-benzylpropyl)((1S,2R,5R)-4,6-dioxabicyclo(3.3.0)oct-2-yloxy)carboxamide	Darunavir is a protease inhibitor used to treat HIV. It acts on the HIV aspartyl protease which the virus needs to cleave the HIV polyprotein into its functional fragments.	
C21	D000077712	internal	β-L-2'-deoxythymidine	Telbivudine is a synthetic thymidine nucleoside analog with specific activity against the hepatitis B virus. Telbivudine is orally administered, with good tolerance, lack of toxicity and no dose-limiting side effects.	
C21	C426859	internal	Fosamprenavir	Fosamprenavir is a prodrug of amprenavir, an inhibitor of human immunodeficiency virus (HIV) protease.	
C21	D061466	internal	Lopinavir	Lopinavir is an antiretroviral belonging to the _protease inhibitor_ class. It is marketed by Abbott as Kaletra, a co-formulation with a sub-therapeutic dose of ritonavir, as a component of combination therapy to treat HIV/AIDS.	
C21	D000077562	internal	Valganciclovir	Valganciclovir hydrochloride (Valcyte, manufactured by Roche) is an antiviral medication used to treat cytomegalovirus infections. As the L-valyl ester of ganciclovir, it is actually a prodrug for ganciclovir. After oral administration, it is rapidly converted to ganciclovir by intestinal and hepatic esterases.	
C21	C020235	internal	BVdU	Brivudine is used in the treatment of herpes zoster. Although not approved in the U.S. or Canada, it is approved in several European countries.	
C21	D000077592	internal	Maravirocum	Maraviroc (brand-named Selzentry, or Celsentri outside the U.S.) is a chemokine receptor antagonist drug developed by the drug company Pfizer that is designed to act against HIV by interfering with the interaction between HIV and CCR5. It was originally labelled as UK-427857 during development but was assigned the Maraviroc name as it entered trials. It was approved for use by the FDA in August, 2007.	
C21	C486464	internal	Telaprevir	Telaprevir is a direct acting antiviral medication used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the development of Direct Acting Antivirals (DAAs) such as Telaprevir. Telaprevir is an inhibitor of NS3/4A, a serine protease enzyme, encoded by HCV genotype 1 [FDA Label]. These enzymes are essential for viral replication and serve to cleave the virally encoded polyprotein into mature proteins like NS4A, NS4B, NS5A and NS5B. The barrier for develoment of resistance to NS3/4A inhibitors is lower than that of NS5B inhibitors, another class of DAAs [A19593]. Subtitutions at amino acid positions 155, 156, or 168 are known to confer resistance. The substitutions of the enzyme's catalytic triad consisting of H58, D82, and S139 are also likely to alter the affinity of the drug for NS3/4A or the activity of the enzyme itself. Despite this disadvantage Telaprevir is still effective against HCV when paired with [DB00811], [DB00008], and [DB00022].Telaprevir, [DB00811], [DB00008], and [DB00022] were used with the intent to cure, or achieve a sustained virologic response (SVR), after 12 weeks of daily administration of the combination therapy followed by 12 or 36 weeks of therapy with [DB00811], [DB00008], and [DB00022]. SVR and eradication of HCV infection is associated with significant long-term health benefits including reduced liver-related damage, improved quality of life, reduced incidence of Hepatocellular Carcinoma, and reduced all-cause mortality [A19626].Telaprevir was available as a fixed dose product (tradename Incivek) used for the treatment of chronic Hepatitis C. Approved in May 2011 by the FDA, Incivek was indicated for the treatment of HCV genotype 1 in combination with [DB00811], [DB00008], and [DB00022] [FDA Label]. Incivek has since been withdrawn from the market.	
C21	D000069616	internal	Simeprevir	Simeprevir is a hepatitis C virus (HCV) NS3/4A protease inhibitor indicated in patient's with HCV genotype 1 for the treatment of chronic hepatitis C virus (HCV) infection. HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Like all NS3/4A inhibitors, simeprevir is a serine protease inhibitor in similarity to [DB08873] and [DB05521] but is classified as a second generation protease inhibitor. This class of antiviral drugs were the first direct acting antivirals approved but are associated with lower cure rates than newer drugs. Broad use of simeprevir occurred when it was used in combination with a newer drug, [DB08934]. Inhibiting HCV NS3/4A protease in a potent and highly specific manner, simeprevir is a direct-acting antiviral agent against the hepatitis C virus. Since the viral protease NS3/4A complex is essential for cleaving the HCV encoded polyprotein into individual viral proteins facilitating replication [A19632], the drug blocks the viral replication process. It is shown to display synergistic effects with interferon-α and HCV NS5B inhibitor, and additive effects with ribavirin in HCV replicon cells [A19629]. Unlike first generation serine protease inhibitors, simprevir has a sightly different resistance profile where limited therapeutic efficacy of the drug is observed with NS3 Q80K polymorphic variants and simeprevir-specific amino acid position of 168 also results in higher treatment failure rates [A19630]. The observed prevalence of the N3 Q80K polymorphism was 30% in subjects infected with HCV genotype 1a and 0.5% in subjects infected with HCV genotype 1b [A19630]. According to 2017 American Association for the Study of Liver Diseases (AASLD) and 2015 consensus guidelines from the Canadian Association for the Study of the Liver (CASL), simeprevir can be used as first-line or second-line threapies for treatment-naïve patients as adjunct to sofosbuvir treatment for genotype 1 or PEG-Interferon/ribavirin combination therapy for genotype 1 or 4. The combination therapy of simeprevir and other antiviral agents are initiated in HCV-positive patients with the intent to cure, or achieve a sustained virologic response (SVR), after 12 weeks of daily therapy. SVR and eradication of HCV infection is associated with significant long-term health benefits including reduced liver-related damage, improved quality of life, reduced incidence of Hepatocellular Carcinoma, and reduced all-cause mortality [A19626].Simeprevir was approved by the FDA in November 2014 and is marketed under the brand name Olysio as oral tablets. Administered once daily with food, 150mg simeprevir capsule is used in combination with [DB08934] in patients with HCV genotype 1 without cirrhosis for 12 week duration. In patients with HCV genotype 1 with compensated cirrhosis, the treatment is directed for 24 week duration. Sustained virologic response 12 weeks after planned end of treatment (SVR12) was achieved in 170/176 (97%) subjects without cirrhosis treated with 12 weeks simeprevir in combination with sofosbuvir (FDA Label). The overall SVR12 was 88% (44/50) in treatment-naïve patients with cirrhosis [L852].Simeprevir is also used in treatment of HCV genotype 4 patients with or without cirrhosis and is taken with [DB00008] and [DB00811]; this triple therapy allows shortening treatment duration from 48 weeks or longer to 12 or 24 weeks [A19630] depending on prior response status and presence of HIV-1 co-infection. Prior to initiation of treatment with [DB00008] and [DB00811], screening for the presence of virus with the NS3 Q80K polymorphism is strongly recommended and if detected, alternative treatment should be considered instead to prevent therapeutic failure. The SVR12 was 83% (29/35) in treatment-naïve patients and 86% (19/22) in relapsing patients.	
C21	C451734	internal	Etravirine	Etravirine is an antiretroviral agent more specifically classified as a Non-Nucleoside Reverse Transcriptase Inhibitor(NNRTI). Etraverine is used clinically for the treatment of human immunodeficiency virus type 1 (HIV-1) infection. On January 18, 2007, the FDA granted accelerated approved for the use of etravirine 100mg tablets in the treatment of adult HIV-1 infection documented to be resistant to therapy with other NNRTIs and antiretroviral agents. On March 26, 2012, approval was extended for use in treatment-experienced pediatric patients 6 to 18 years of age, weighing at least 16 kg. Etravarine must always be used in combination with other antiretroviral drugs. Etravirine exerts its effects via direct inhibition of the reverse transcriptase enzyme of human immunodeficiency virus type 1 (HIV-1), and consequently blocks DNA-dependent and RNA-dependent polymerase activity. Etravirine does not inhibit human DNA polymerase alpha, beta or gamma. Common side effects of use include mild to moderate rash within the first 6 weeks of therapy, nausea, diarrhea and peripheral neuropathy. Patients are advised to immediately contact their healthcare provider if a rash develops. In 2009, postmarketing case reports of Stevens-Johnson Syndrome, toxic epidermal necrolysis, erythema multiforme, and other hypersensitivity reactions lead to a revision of etravirine's "Warnings and Precautions," as well as notification of health care providers. In 2013, reports of Autoimmune disorders (such as Graves’ disease, polymyositis, and Guillain-Barrésyndrome) in the setting of immune reconstitution, as well as more in depth information about the development of rashes in patients taking etravirine, lead to a modification of etravirine's monograph.	
C21	C414210	internal	Peramivir anhydrous	Peramivir is an antiviral agent developed by Biocryst Pharmaceuticals to treat influenza A/B. The development of peramivir has been supported by the US Department of Health and Human Services as part of the government's effort to prepare for a flu pandemic. Being an influenza virus neuraminidase inhibitor, peramivir works by preventing new viruses from emerging from infected cells. Due to the poor oral bioavailability, the oral formulation of the drug was previously abandoned by Johnson and Johnson Company. The injectable intravenous formulation of peramivir was approved by the FDA in September 2017 for the treatment of acute uncomplicated influenza to pediatric patients 2 years and older who have been symptomatic for no more than two days.	
C21	C034935	internal	L-FMAU		
C21	D000068696	internal	Rilpivirine	Rilpivirine is non-nucleoside reverse transcriptase inhibitor (NNRTI) which is used for the treatment of HIV-1 infections in treatment-naive patients.[A31328] It is a diarylpyrimidine derivative, a class of molecules that resemble pyrimidine nucleotides found in DNA.[A31329] The internal conformational flexibility of rilpivirine and the plasticity of it interacting binding site gives it a very high potency and an unlikely generation of resistance compared to other NNRTI's.[A31331] Rilpivirine was developed by Tilbotec, Inc. and FDA approved on May 20, 2011.[L1030] On November 21, 2017, Rilpivirine, in combination with dolutegravir, was approved as part of the first complete treatment regimen with only two drugs for the treatment of adults with HIV-1 named Juluca.[L1031]	
C21	C562325	internal	Dolutegravir	Dolutegravir is a HIV-1 intergrase inhibitor that blocks the strand transfer step of the integration of the viral genome into the host cell (INSTI).[A7514] The effect of this drug has no homology in human host cells which gives it an excellent tolerability and minimal toxicity.[A31342] Dolutegravir was developed by ViiV Healthcare and FDA approved on August 12, 2013.[L1035] On November 21, 2017, dolutegravir, in combination with rilpivirine, was approved as part of the first complete treatment regimen with only two drugs for the treatment of adults with HIV-1 named Juluca.[L1031]	
